City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bismarck,46.81,-100.78,60.8,36,1,4.7,US,1604364042
businga,3.33,20.88,70.68,96,97,1.12,CD,1604364270
kita,13.03,-9.49,76.42,31,98,2.64,ML,1604364270
shirokiy,49.76,129.52,17.19,92,100,16.26,RU,1604364270
nizwa,22.93,57.53,59.61,29,0,2.98,OM,1604364271
yeppoon,-23.13,150.73,80.6,54,40,12.75,AU,1604364271
timizart,36.8,4.27,62.62,45,0,5.75,DZ,1604364271
ituiutaba,-18.97,-49.47,69.22,48,0,6.2,BR,1604364271
mastic beach,40.77,-72.85,41.0,38,1,11.41,US,1604364271
alihe,50.57,123.72,14.94,76,0,10.94,CN,1604364033
knyaze-volkonskoye,48.46,135.46,26.6,68,40,20.13,RU,1604364272
vanavara,60.34,102.28,18.03,97,83,7.47,RU,1604364272
rovaniemi,66.5,25.72,46.4,93,90,18.34,FI,1604364272
cimitarra,6.31,-73.95,76.03,80,100,2.71,CO,1604364273
kalabo,-14.97,22.68,75.61,42,100,4.16,ZM,1604363789
basco,20.45,121.97,79.11,76,77,29.95,PH,1604364273
mugumu,-1.85,34.7,62.55,71,56,5.37,TZ,1604364273
sangar,63.92,127.47,-6.21,90,0,0.72,RU,1604364273
comodoro rivadavia,-45.87,-67.5,62.6,63,100,6.93,AR,1604363801
kavieng,-2.57,150.8,85.87,66,7,1.16,PG,1604364274
strezhevoy,60.73,77.59,26.6,86,90,4.47,RU,1604364274
zatoka,46.07,30.47,42.8,93,75,4.83,UA,1604364274
bobrovka,54.05,61.75,28.87,97,0,5.48,RU,1604364275
esil,51.96,66.4,28.62,96,93,6.53,KZ,1604364275
cockburn town,21.46,-71.14,82.56,81,100,16.33,TC,1604364275
williamsport,41.24,-77.0,39.2,51,75,11.41,US,1604364140
kahului,20.89,-156.47,89.6,55,40,19.46,US,1604364051
axim,4.87,-2.24,77.47,87,86,3.94,GH,1604364276
kodinar,20.79,70.7,76.69,40,0,11.48,IN,1604364276
kefamenanu,-9.45,124.48,89.64,34,93,5.26,ID,1604364276
old shinyanga,-3.55,33.4,71.83,55,67,12.19,TZ,1604364277
bac lieu,9.29,105.72,81.48,80,99,9.73,VN,1604364192
santa cruz,-17.8,-63.17,78.8,47,20,6.93,BO,1604364277
flinders,-34.58,150.86,71.01,66,0,1.99,AU,1604363813
upington,-28.45,21.26,73.4,26,100,5.82,ZA,1604364277
miragoane,18.44,-73.09,78.1,81,100,2.62,HT,1604364278
yar-sale,66.83,70.83,17.02,96,10,9.01,RU,1604363588
port moresby,-9.44,147.18,86.0,70,40,6.93,PG,1604364278
salamiyah,35.01,37.05,60.1,79,0,3.49,SY,1604364278
andenes,69.31,16.12,44.6,93,100,20.8,NO,1604363834
kharan,28.58,65.42,51.93,29,0,4.16,PK,1604364279
abeche,13.83,20.83,83.53,22,97,21.63,TD,1604364279
ayr,55.46,-4.63,44.6,87,40,23.04,GB,1604364279
severo-yeniseyskiy,60.37,93.04,21.02,98,100,7.54,RU,1604363817
ipixuna,-1.76,-48.8,82.4,78,20,8.05,BR,1604364280
palmerston north,-40.35,175.62,69.01,70,100,4.0,NZ,1604364280
praya,14.92,-23.51,78.8,50,0,11.41,CV,1604364280
san quintin,30.48,-115.95,55.0,22,0,5.99,MX,1604363783
moree,-29.47,149.85,77.0,41,1,2.64,AU,1604364281
teguise,29.06,-13.56,69.8,83,20,5.82,ES,1604363837
boyolangu,-8.12,111.89,81.73,72,77,3.74,ID,1604364281
vostok,46.49,135.88,20.86,93,100,10.47,RU,1604364281
mandalgovi,45.76,106.27,25.52,76,0,8.03,MN,1604364282
chardara,41.25,67.97,48.34,46,0,5.73,KZ,1604364282
yerbogachen,61.28,108.01,25.48,98,97,8.5,RU,1604364282
ha tinh,18.33,105.9,68.45,88,99,8.79,VN,1604364160
middle island,40.88,-72.94,42.01,38,1,11.41,US,1604364282
japura,-0.32,102.35,74.95,94,100,1.21,ID,1604364027
nageshwari,25.94,89.71,75.76,85,70,1.68,BD,1604364283
griffith,41.53,-87.42,45.0,39,1,4.7,US,1604364283
bogorodskoye,56.55,37.88,41.25,93,92,6.04,RU,1604364283
calvinia,-31.47,19.78,68.9,27,100,10.13,ZA,1604363835
naze,28.37,129.48,73.4,60,40,24.16,JP,1604364284
trincomalee,8.57,81.23,78.31,82,15,4.52,LK,1604364284
marquette,46.53,-87.63,46.0,56,1,8.05,US,1604364284
chernyshevskiy,63.01,112.47,16.18,97,100,7.02,RU,1604364285
chara,56.91,118.26,-4.7,74,0,0.67,RU,1604363804
khobi,42.32,41.9,55.4,100,90,2.24,GE,1604364285
omsukchan,62.53,155.8,13.14,93,100,5.26,RU,1604364286
namibe,-15.2,12.15,68.43,78,97,5.7,AO,1604364286
derazhnya,49.27,27.43,42.55,72,100,2.89,UA,1604364286
la ronge,55.1,-105.28,42.8,90,0,4.7,CA,1604364286
bafoulabe,13.81,-10.83,80.33,25,100,2.33,ML,1604364287
sava,40.4,17.56,59.0,85,93,3.65,IT,1604364287
gazli,40.13,63.45,48.52,42,0,12.57,UZ,1604364287
xiaoshi,41.3,124.12,30.2,39,0,11.18,CN,1604364287
zabol,32.25,67.25,35.24,57,0,2.95,AF,1604364288
coari,-4.08,-63.14,81.1,64,38,0.98,BR,1604364288
san antonio,29.42,-98.49,68.0,25,1,6.22,US,1604364059
bayan,46.08,127.4,24.12,85,100,13.13,CN,1604364130
awbari,26.59,12.78,59.16,59,0,5.61,LY,1604364289
galle,6.04,80.22,77.97,84,70,5.12,LK,1604364267
gaoua,10.3,-3.25,79.88,46,78,2.26,BF,1604364289
vaitape,-16.52,-151.75,80.96,78,2,18.34,PF,1604364289
kargasok,59.06,80.86,28.31,99,100,4.61,RU,1604364290
daura,11.55,11.41,77.29,27,32,9.31,NG,1604364290
nhulunbuy,-12.23,136.77,87.8,62,40,10.29,AU,1604364290
ovalle,-30.6,-71.2,53.73,74,0,0.81,CL,1604364290
placido de castro,-10.34,-67.19,74.61,66,76,1.43,BR,1604364291
maldonado,-34.67,-54.92,59.0,82,0,11.41,UY,1604363795
oluta,17.92,-94.9,80.6,61,90,26.4,MX,1604364291
panjab,34.39,67.02,25.29,66,0,3.98,AF,1604364291
bendigo,-36.77,144.28,80.01,37,1,1.01,AU,1604364291
inirida,3.87,-67.92,75.31,92,97,2.26,CO,1604364292
port hedland,-20.32,118.57,82.4,42,0,10.29,AU,1604364292
mamakan,57.82,114.0,7.95,73,100,2.08,RU,1604364292
burnie,-41.07,145.92,68.0,61,73,7.0,AU,1604364292
mount gambier,-37.83,140.77,80.6,42,100,19.46,AU,1604363778
baripada,21.93,86.72,72.86,67,6,6.35,IN,1604364293
caborca,30.58,-111.1,87.01,18,0,1.01,MX,1604364293
lagos,6.58,3.75,76.55,90,99,1.99,NG,1604364216
asifabad,19.37,79.28,66.45,60,0,4.65,IN,1604364293
chapais,49.78,-74.85,17.6,92,90,3.36,CA,1604364294
seminole,28.71,-81.21,63.0,67,75,9.17,US,1604364125
aasiaat,68.71,-52.87,14.79,88,100,15.95,GL,1604364294
chicama,-7.84,-79.15,61.79,82,81,4.79,PE,1604364295
matara,5.95,80.54,77.07,85,62,5.17,LK,1604364295
nuuk,64.18,-51.72,24.8,58,100,18.34,GL,1604363770
micheweni,-4.97,39.83,77.29,81,82,10.71,TZ,1604364295
nizhniy kuranakh,58.84,125.49,-7.56,87,0,1.07,RU,1604364295
north bend,43.41,-124.22,54.0,93,90,6.93,US,1604364291
baruun-urt,46.68,113.28,16.93,70,0,9.35,MN,1604364296
solnechnyy,50.72,136.63,30.25,90,100,5.28,RU,1604364296
aykhal,66.0,111.5,6.8,84,90,6.71,RU,1604363833
hami,42.8,93.45,36.81,71,0,2.75,CN,1604363792
along,28.17,94.77,66.7,88,53,1.7,IN,1604364297
damavand,35.72,52.06,57.2,35,0,0.96,IR,1604364298
phan thiet,10.93,108.1,78.91,75,93,3.76,VN,1604364007
barra patuca,15.8,-84.28,78.44,84,100,29.57,HN,1604363800
opuwo,-18.06,13.84,64.47,28,0,4.05,NA,1604364298
los llanos de aridane,28.66,-17.92,71.6,68,0,11.41,ES,1604363823
poum,-20.23,164.02,77.86,76,100,7.61,NC,1604364299
billings,45.78,-108.5,64.4,22,1,17.22,US,1604364299
sambava,-14.27,50.17,69.71,80,100,6.96,MG,1604364299
lubyany,56.04,51.4,26.6,92,90,6.71,RU,1604364299
napoleon,41.39,-84.13,44.6,33,1,14.99,US,1604364064
burlington,39.88,-74.64,42.8,45,1,17.22,US,1604364288
